Additional Sources ,Count 
"PENNELL CPA Grand Rapids, MI",
"PINNACLE WEALTH MANAGEMENT INC Plymouth, MI",
"R.H. BLUESTEIN & CO Birmingham, MI",
"REHMANN FINANCIAL Lansing, MI",
"SI CAPITAL LLC Farmington Hills, MI",
"VINEYARD CAPITAL GROUP LLC Franklin, MI",
MINNESOTA FAMILY OFFICES,
"CHERRY TREE WEALTH MANAGEMENT LLC Minnetonka, MN",
"DISCIPLINE ADVISORS INC Mankota, MN",
"HUNTER TRUST LLC Minneapolis, MN",
"JNBA FINANCIAL ADVISORS INC Duluth, MN & Minneapolis, MN",
"LAKE HARRIET CAPITAL Minneapolis, MN",
"MERISTEM FAMILY WEALTH Minnetonka, MN & Scottsdale, AZ & Naples, FL",
"OKABENA COMPANY & OKABENA INVESTMENT SERVICES INC Minneapolis,MN",
"RBC WEALTH MANAGEMENT Wayzata, MN",
"SAWMILL PRIVATE MANAGEMENT Minneapolis, MN",
"VISTA FAMILY OFFICE Eagan, MN",
"WALRUS PARTNERS LLC Golden Valley, MN",
"WAYPOINT CAPITAL ADVISORS LLC Minneapolis, MN & Henderson, NV",
"WHITE OAKS WEALTH ADVISORS INC Minneapolis, MN",
MISSISSIPPI FAMILY OFFICES,
"ADDICUS LLC Oxford, MS",
"ARGENT FINANCIAL GROUP INC Oxford, MS",
"CITIZENS NATIONAL BANK Meridian, MS",
MISSOURI FAMILY OFFICES,
"BURDS & KUNTZ P.C. St. Louis, MO",
"COMMERCE FAMILY OFFICE St. Louis, MO & Kansas City, MO",
"MATTER FAMILY OFFICE St. Louis, MO",
"MIDWEST TRUST OF MISSOURI Kansas City, MO",
"MOSAIC FAMILY WEALTH LLC St. Louis, MO & Greenwood Village, CO",
"RUSH PENN LLC St.Louis, MO",
"THE ST. LOUIS TRUST COMPANY St. Louis, MO",
MONTANA FAMILY OFFICES,
"DEFFINBAUGH FINANCIAL SERVICES INC Great Falls, MT",
"LOVELESS WEALTH MANAGEMENT LLC Billings, MT",
"WHITE WEALTH MANAGMENT Bozeman, MT",
NEBRASKA FAMILY OFFICES,
"PANORAMA POINT PARTNERS Omaha, NE",
"PROVIDENT TRUST COMPANY Omaha, NE",
"SILVERSTONE GROUP INC Omaha, NE & Council Bluff, IA & Sioux Falls, SD",
"TREETOP VENTURES LLC Omaha, NE",
NEVADA FAMILY OFFICES,
"ELYSIEN PRIVATE WEALTH Henderson, NV",
"IWC FAMILY OFFICES Reno, NV",
"KINGSBRIDGE PWM PARTNERS FUND LP Las Vegas, NV",
"SENTINEL ROCK WEALTH MANAGEMENT LLC Las Vegas, NV",
"WHITTIER TRUST COMPANY OF NEVADA INC Reno, NV",
NEW HAMPSHIRE FAMILY OFFICES,
"BALLENTINE PARTNERS  Wolfboro, NH",
